Sn Oxide,,SnSiO2 0.13%,,SnSiO2 0.5%,,SnSiO2 2%,,SnSiO2 6%,
wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity
194.580008738,121.3741464005,194.580008738,1.2719871817,194.580008738,13.9898289517,194.580008738,67.7737052235,194.580008738,77.881758489
195.0500087579,0.6414780216,195.0500087579,0.011677195,195.0500087579,0,195.0500087579,0.8495260396,195.0500087579,0.0712753357
195.5200087792,8.4349241008,195.5200087792,0.0078814531,195.5200087792,0.9785869497,195.5200087792,7.0933077715,195.5200087792,10.6237162132
195.9900088002,3.7717380698,195.9900088002,0.0001600755,195.9900088002,0.0313747907,195.9900088002,1.8327039719,195.9900088002,0.9990309624
196.4500088204,1.7901946535,196.4500088204,0.0019517519,196.4500088204,0.0067315525,196.4500088204,1.0196907959,196.4500088204,0.4645966189
196.9200088433,1.4461711068,196.9200088433,0.0032109827,196.9200088433,0.0047966532,196.9200088433,0.7881178634,196.9200088433,0.3729893354
197.3900088628,1.1003104773,197.3900088628,0.0056812617,197.3900088628,0.0025250052,197.3900088628,0.6363407684,197.3900088628,0.2717931399
197.8600088855,0.9802362625,197.8600088855,0.0066359529,197.8600088855,0.0025130236,197.8600088855,0.5375121855,197.8600088855,0.2513023586
198.3300089065,0.7017224535,198.3300089065,0.0087930247,198.3300089065,0.0009770027,198.3300089065,0.4065894635,198.3300089065,0.1702329588
198.8000089272,0.5054864783,198.8000089272,0.012602156,198.8000089272,0.0003500599,198.8000089272,0.3220939925,198.8000089272,0.130844607
199.2700089467,0.4349711864,199.2700089467,0.0139751333,199.2700089467,0.0003484105,199.2700089467,0.266688902,199.2700089467,0.1128850106
199.7400089696,0.4167438386,199.7400089696,0.0139094421,199.7400089696,0.0003467728,199.7400089696,0.2344184092,199.7400089696,0.1082316423
200.2100089886,0.3758646291,200.2100089886,0.0153398481,200.2100089886,0.0001533985,200.2100089886,0.2273748991,200.2100089886,0.0958740509
200.6800090113,0.3591433952,200.6800090113,0.0152680793,200.6800090113,0.0001526808,200.6800090113,0.2034089864,200.6800090113,0.0807681395
201.1500090329,0.3146120199,201.1500090329,0.0183881437,201.1500090329,0.000037992,201.1500090329,0.1915178351,201.1500090329,0.0670179451
201.6200090537,0.2862225751,201.6200090537,0.0200041937,201.6200090537,3.78151109862066E-05,201.6200090537,0.1748570732,201.6200090537,0.0575167838
202.0900090744,0.2592979822,202.0900090744,0.0274391391,202.0900090744,0,202.0900090744,0.1590265604,202.0900090744,0.0461082927
202.5500090937,0.2279592978,202.5500090937,0.0273146496,202.5500090937,0,202.5500090937,0.1348871585,202.5500090937,0.0433137653
203.0200091153,0.2097864723,203.0200091153,0.0313654086,203.0200091153,0,203.0200091153,0.1211726664,203.0200091153,0.0381904618
203.4900091364,0.1924471347,203.4900091364,0.0356754816,203.4900091364,0,203.4900091364,0.1082515133,203.4900091364,0.0312206868
203.960009159,0.1708678753,203.960009159,0.0355112518,203.960009159,0,203.960009159,0.0961131798,203.960009159,0.0310769643
204.4300091774,0.1506618483,204.4300091774,0.03310441,204.4300091774,0,204.4300091774,0.0812529353,204.4300091774,0.030934232
204.9000091996,0.1407447041,204.9000091996,0.037492866,204.9000091996,0,204.9000091996,0.0774754927,204.9000091996,0.0307924808
205.3700092226,0.1268710743,205.3700092226,0.0396904912,205.3700092226,0,205.3700092226,0.0705608733,205.3700092226,0.0306517017
205.8400092439,0.113775593,205.8400092439,0.044443591,205.8400092439,0,205.8400092439,0.060987491,205.8400092439,0.0264484717
206.3100092636,0.1014480681,206.3100092636,0.0521505911,206.3100092636,0,206.3100092636,0.0577845885,206.3100092636,0.0208024519
206.7700092846,0.0863276075,206.7700092846,0.0604401117,206.7700092846,3.5954855250992E-05,206.7700092846,0.0465974924,206.7700092846,0.0174021499
207.2400093046,0.0692932268,207.2400093046,0.0692932268,207.2400093046,0.000035792,207.2400093046,0.0389774401,207.2400093046,0.0129208961
207.7100093269,0.0598943012,207.7100093269,0.0890754033,207.7100093269,0.0001425206,207.7100093269,0.0299649657,207.7100093269,0.0091213213
208.1800093473,0.0410026972,208.1800093473,0.1234691946,208.1800093473,0.0005675114,208.1800093473,0.0204304097,208.1800093473,0.0051076024
